CLOUD,Name,EntrezIDs,Symbols
CLOUD001,Desoxycorticosterone Pivalate,4306;2908;367,NR3C2;NR3C1;AR;NR3C2
CLOUD002,Aliskiren,5972;1576,REN;CYP3A4;REN;REN
CLOUD003,Chloroquine,2939;7124;54106;1576;1565;1565;1543;1558;1577;4835;259249;1544;3757;51311;51284;5621;1559;55775;1557,GSTA2;TNF;TLR9;CYP3A4;CYP2D6;CYP2D6;CYP1A1;CYP2C8;CYP3A5;NQO2;MRGPRX1;CYP1A2;KCNH2;TLR8;CYP3A4;TLR7;PRNP;CYP2C9;TLR9;TDP1;CYP2D6;CYP2C19;KCNH2;NQO2;PRNP
CLOUD004,Dexmedetomidine,150;1571;1544;1543;1565;1576;146;1557;1559;152,ADRA2A;CYP2E1;CYP1A2;CYP1A1;CYP2D6;CYP1A2;CYP3A4;ADRA1D;CYP2C19;ADRA2A;CYP2C9;ADRA2C;ADRA2A;ADRA1D;ADRA2C
CLOUD005,Zaleplon,2554;706;1576;1577;1551;316;2561;2562;2555;2566,GABRA1;TSPO;CYP3A4;CYP3A5;CYP3A7;AOX1;GABRB2;GABRB3;GABRA2;GABRA1;GABRG2;GABRA1;GABRG2;GABRG2;GABRG2;GABRB3
CLOUD006,Maprotiline,6530;3269;1128;1129;1131;1132;1133;148;3356;3358;3363;1813;150;1565;1544;5004;6531;1559;152;146;1812;1814;151;1816;5914;3362;6311;1576;4137;2475;7468;3757;3357;2737;2100;3274;3725;7253;54799;5468;55775;367;7157,SLC6A2;HRH1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;ADRA1A;HTR2A;HTR2C;HTR7;DRD2;ADRA2A;CYP2D6;CYP1A2;ORM1;SLC6A2;SLC6A3;ADRA2A;CYP1A2;CYP2C9;ADRA2C;ADRA1D;DRD1;DRD2;DRD3;ADRA2B;DRD5;RARA;HTR2A;CYP2D6;HTR2C;HTR6;ATXN2;CYP3A4;MAPT;MTOR;NSD2;KCNH2;HTR2B;GLI3;ESR2;HRH1;HRH2;JUN;TSHR;MBTD1;PPARG;TDP1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;AR;TP53;CHRM2;ADRA2A;CHRM1;DRD2;DRD1;SLC6A2;HRH2;ADRA1D;HTR2A;HTR2C;HRH1;DRD3;SLC6A3;CHRM4;CHRM5;ADRA2B;ADRA2C;CHRM3;DRD5;HTR2B
CLOUD007,Isosorbide Dinitrate,4881;1576;1571;2982,NPR1;CYP3A4;CYP2E1;GUCY1A1
CLOUD008,Argatroban,2147;1576;1577;1814;5644,F2;CYP3A4;CYP3A5;DRD3;F2;F2;PRSS1
CLOUD009,Pyridostigmine,43;43;590;213;1576;10951;1544;1559;1565,ACHE;ACHE;BCHE;ALB;CYP3A4;CBX1;CYP1A2;BCHE;CYP3A4;CYP2C9;CYP2D6;BCHE
CLOUD010,Azatadine,3269;1576;2737;5914,HRH1;CYP3A4;GLI3;RARA
